Team,Team_norm,TR_3P_Rate,TR_ORB_Pct,TR_TOV_PerPoss,Pulled_At_UTC
abl christian,abl christian,0.32799999999999996,0.276,0.20199999999999999,2026-03-29 12:14:43
air force,air force,0.418,0.193,0.215,2026-03-29 12:14:43
akron,akron,0.44799999999999995,0.32299999999999995,0.151,2026-03-29 12:14:43
alabama,alabama,0.5429999999999999,0.3,0.127,2026-03-29 12:14:43
alabama aandm,alabama aandm,0.34,0.251,0.161,2026-03-29 12:14:43
alabama st,alabama st,0.385,0.302,0.179,2026-03-29 12:14:43
albany,albany,0.376,0.299,0.18,2026-03-29 12:14:43
alcorn st,alcorn st,0.337,0.248,0.191,2026-03-29 12:14:43
american,american,0.465,0.248,0.153,2026-03-29 12:14:43
app state,app state,0.45899999999999996,0.306,0.14800000000000002,2026-03-29 12:14:43
ar-pine bluff,ar-pine bluff,0.37200000000000005,0.254,0.183,2026-03-29 12:14:43
arizona,arizona,0.264,0.382,0.147,2026-03-29 12:14:43
arizona st,arizona st,0.384,0.271,0.166,2026-03-29 12:14:43
arkansas,arkansas,0.33,0.3,0.11900000000000001,2026-03-29 12:14:43
arkansas st,arkansas st,0.449,0.37799999999999995,0.19399999999999998,2026-03-29 12:14:43
army,army,0.5329999999999999,0.272,0.168,2026-03-29 12:14:43
auburn,auburn,0.40299999999999997,0.34600000000000003,0.141,2026-03-29 12:14:43
austin peay,austin peay,0.38,0.278,0.151,2026-03-29 12:14:43
ball st,ball st,0.39399999999999996,0.24100000000000002,0.158,2026-03-29 12:14:43
baylor,baylor,0.396,0.35600000000000004,0.16,2026-03-29 12:14:43
bellarmine,bellarmine,0.41200000000000003,0.20800000000000002,0.152,2026-03-29 12:14:43
belmont,belmont,0.457,0.275,0.177,2026-03-29 12:14:43
bethune,bethune,0.297,0.282,0.187,2026-03-29 12:14:43
binghamton,binghamton,0.309,0.18100000000000002,0.183,2026-03-29 12:14:43
boise st,boise st,0.431,0.319,0.166,2026-03-29 12:14:43
boston college,boston college,0.424,0.259,0.15,2026-03-29 12:14:43
boston u,boston u,0.43799999999999994,0.258,0.174,2026-03-29 12:14:43
bowling green,bowling green,0.342,0.261,0.162,2026-03-29 12:14:43
bradley,bradley,0.405,0.256,0.13699999999999998,2026-03-29 12:14:43
brown,brown,0.363,0.264,0.19,2026-03-29 12:14:43
bryant,bryant,0.479,0.24600000000000002,0.19699999999999998,2026-03-29 12:14:43
bucknell,bucknell,0.42700000000000005,0.247,0.18600000000000003,2026-03-29 12:14:43
buffalo,buffalo,0.455,0.256,0.158,2026-03-29 12:14:43
butler,butler,0.349,0.317,0.155,2026-03-29 12:14:43
byu,byu,0.39799999999999996,0.322,0.149,2026-03-29 12:14:43
c arkansas,c arkansas,0.48700000000000004,0.262,0.15,2026-03-29 12:14:43
c connecticut,c connecticut,0.349,0.255,0.159,2026-03-29 12:14:43
c michigan,c michigan,0.34,0.278,0.17800000000000002,2026-03-29 12:14:43
cal baptist,cal baptist,0.32,0.35700000000000004,0.175,2026-03-29 12:14:43
cal poly,cal poly,0.526,0.278,0.19399999999999998,2026-03-29 12:14:43
california,california,0.431,0.225,0.147,2026-03-29 12:14:43
campbell,campbell,0.369,0.313,0.172,2026-03-29 12:14:43
canisius,canisius,0.395,0.26899999999999996,0.191,2026-03-29 12:14:43
charleston,charleston,0.381,0.278,0.153,2026-03-29 12:14:43
charleston so,charleston so,0.495,0.281,0.18,2026-03-29 12:14:43
charlotte,charlotte,0.45399999999999996,0.32,0.17600000000000002,2026-03-29 12:14:43
chattanooga,chattanooga,0.49200000000000005,0.201,0.141,2026-03-29 12:14:43
chicago st,chicago st,0.309,0.23800000000000002,0.151,2026-03-29 12:14:43
cincinnati,cincinnati,0.43799999999999994,0.29,0.166,2026-03-29 12:14:43
clemson,clemson,0.431,0.264,0.138,2026-03-29 12:14:43
cleveland st,cleveland st,0.508,0.23600000000000002,0.174,2026-03-29 12:14:43
coastal car,coastal car,0.431,0.256,0.15,2026-03-29 12:14:43
colgate,colgate,0.35,0.244,0.14300000000000002,2026-03-29 12:14:43
colorado,colorado,0.35100000000000003,0.272,0.141,2026-03-29 12:14:43
colorado st,colorado st,0.491,0.27899999999999997,0.182,2026-03-29 12:14:43
columbia,columbia,0.375,0.325,0.188,2026-03-29 12:14:43
coppin st,coppin st,0.35200000000000004,0.276,0.217,2026-03-29 12:14:43
cornell,cornell,0.516,0.28300000000000003,0.156,2026-03-29 12:14:43
creighton,creighton,0.48200000000000004,0.256,0.162,2026-03-29 12:14:43
cs bakersfield,cs bakersfield,0.289,0.284,0.183,2026-03-29 12:14:43
cs fullerton,cs fullerton,0.431,0.21600000000000003,0.14800000000000002,2026-03-29 12:14:43
cs northridge,cs northridge,0.336,0.28800000000000003,0.17,2026-03-29 12:14:43
dartmouth,dartmouth,0.48700000000000004,0.21899999999999997,0.17300000000000001,2026-03-29 12:14:43
davidson,davidson,0.445,0.265,0.155,2026-03-29 12:14:43
dayton,dayton,0.414,0.25,0.166,2026-03-29 12:14:43
delaware,delaware,0.462,0.183,0.179,2026-03-29 12:14:43
delaware st,delaware st,0.289,0.256,0.195,2026-03-29 12:14:43
denver,denver,0.386,0.287,0.14,2026-03-29 12:14:43
depaul,depaul,0.391,0.284,0.17300000000000001,2026-03-29 12:14:43
detroit mercy,detroit mercy,0.307,0.317,0.157,2026-03-29 12:14:43
drake,drake,0.457,0.242,0.147,2026-03-29 12:14:43
drexel,drexel,0.4,0.295,0.185,2026-03-29 12:14:43
duke,duke,0.43799999999999994,0.368,0.155,2026-03-29 12:14:43
duquesne,duquesne,0.444,0.285,0.17300000000000001,2026-03-29 12:14:43
e carolina,e carolina,0.311,0.302,0.166,2026-03-29 12:14:43
e illinois,e illinois,0.299,0.256,0.18100000000000002,2026-03-29 12:14:43
e kentucky,e kentucky,0.508,0.316,0.165,2026-03-29 12:14:43
e michigan,e michigan,0.318,0.254,0.17,2026-03-29 12:14:43
e tennessee st,e tennessee st,0.37799999999999995,0.272,0.149,2026-03-29 12:14:43
e texas aandm,e texas aandm,0.462,0.231,0.188,2026-03-29 12:14:43
e washington,e washington,0.34700000000000003,0.289,0.17300000000000001,2026-03-29 12:14:43
elon,elon,0.43200000000000005,0.314,0.156,2026-03-29 12:14:43
evansville,evansville,0.431,0.203,0.187,2026-03-29 12:14:43
f dickinson,f dickinson,0.452,0.292,0.17600000000000002,2026-03-29 12:14:43
fairfield,fairfield,0.354,0.34600000000000003,0.15,2026-03-29 12:14:43
fgcu,fgcu,0.384,0.28800000000000003,0.155,2026-03-29 12:14:43
florida,florida,0.37,0.43,0.16,2026-03-29 12:14:43
florida aandm,florida aandm,0.377,0.292,0.21,2026-03-29 12:14:43
florida atlantic,florida atlantic,0.382,0.302,0.172,2026-03-29 12:14:43
florida intl,florida intl,0.327,0.322,0.172,2026-03-29 12:14:43
florida st,florida st,0.506,0.293,0.149,2026-03-29 12:14:43
fordham,fordham,0.38299999999999995,0.33299999999999996,0.168,2026-03-29 12:14:43
fresno st,fresno st,0.409,0.253,0.17800000000000002,2026-03-29 12:14:43
furman,furman,0.465,0.29,0.174,2026-03-29 12:14:43
g washington,g washington,0.47,0.34600000000000003,0.17800000000000002,2026-03-29 12:14:43
gardner-webb,gardner-webb,0.39799999999999996,0.207,0.19399999999999998,2026-03-29 12:14:43
